"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-27","2019","11","27","","10.4","","5.5","","7.9","","10.1","","0.0","","","","","","5.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-28","2019","11","28","","6.6","","-2.1","","2.2","","15.8","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-29","2019","11","29","","-0.2","","-2.3","","-1.2","","19.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-30","2019","11","30","","-0.5","","-3.1","","-1.8","","19.8","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-01","2019","12","01","","-0.2","","-3.2","","-1.7","","19.7","","0.0","","","","","","13.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-02","2019","12","02","","-0.1","","-3.6","","-1.9","","19.9","","0.0","","","","","","5.9","","9","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-03","2019","12","03","","1.8","","-6.6","","-2.4","","20.4","","0.0","","","","","","0.5","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-04","2019","12","04","","4.1","","0.8","","2.5","","15.5","","0.0","","","","","","0.4","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-05","2019","12","05","","1.5","","-0.7","","0.4","","17.6","","0.0","","","","","","0.2","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-06","2019","12","06","","1.1","","-3.2","","-1.1","","19.1","","0.0","","","","","","6.3","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-07","2019","12","07","","0.4","","-3.8","","-1.7","","19.7","","0.0","","","","","","0.0","","10","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-08","2019","12","08","","7.7","","-0.1","","3.8","","14.2","","0.0","","","","","","0.0","","9","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-09","2019","12","09","","10.1","","6.2","","8.1","","9.9","","0.0","","","","","","7.4","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-10","2019","12","10","","10.7","","-5.6","","2.6","","15.4","","0.0","","","","","","0.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-11","2019","12","11","","-1.9","","-6.5","","-4.2","","22.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-12","2019","12","12","","1.9","","-7.6","","-2.8","","20.8","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-13","2019","12","13","","5.5","","1.5","","3.5","","14.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-14","2019","12","14","","4.4","","1.2","","2.8","","15.2","","0.0","","","","","","24.5","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-15","2019","12","15","","2.6","","-3.9","","-0.6","","18.6","","0.0","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-16","2019","12","16","","1.5","","-4.0","","-1.2","","19.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-17","2019","12","17","","1.8","","-1.7","","0.0","","18.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-18","2019","12","18","","-1.4","","-14.1","","-7.8","","25.8","","0.0","","","","","","0.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-19","2019","12","19","","-5.2","","-15.0","","-10.1","","28.1","","0.0","","","","","","1.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-20","2019","12","20","","-2.9","","-9.0","","-5.9","","23.9","","0.0","","","","","","0.2","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-21","2019","12","21","","2.7","","-5.0","","-1.1","","19.1","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-22","2019","12","22","","6.3","","0.7","","3.5","","14.5","","0.0","","","","","","0.0","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-23","2019","12","23","","10.1","","2.2","","6.1","","11.9","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-24","2019","12","24","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-25","2019","12","25","","3.0","","0.1","","1.5","","16.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-26","2019","12","26","","5.0","","1.7","","3.3","","14.7","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-27","2019","12","27","","11.6","","3.8","","7.7","","10.3","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-28","2019","12","28","","4.5","","2.8","","3.7","","14.3","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-29","2019","12","29","","3.4","","1.2","","2.3","","15.7","","0.0","","","","","","6.9","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-30","2019","12","30","","9.0","","1.4","","5.2","","12.8","","0.0","","","","","","10.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-12-31","2019","12","31","","3.2","","-0.3","","1.4","","16.6","","0.0","","","","","","1.7","","","","","M","","M"
